[05/06/23 12:26:06][Pedro][LOGIN: Pedro]
[05/06/23 12:26:10][Pedro][Desconexión del Sistema]
[05/06/23 12:29:29][Pedro][Acceso a sistemaSELECT * FROM usuarios WHERE nombreUsuario = 'Pedro' AND claveUsuario = SHA2('contraseña',256);]
[05/06/23 12:37:16][Pedro][Desconexión del Sistema]
[05/06/23 12:45:01][Pedro][Acceso a sistema]
[05/06/23 12:48:00][Pedro][Desconexión del Sistema]
[05/06/23 12:51:28][Pedro][Acceso a sistema]
[05/06/23 12:53:54][Pedro][Desconexión del Sistema]
[05/06/23 13:08:18][Pedro][Acceso a sistema]
[05/06/23 13:08:21][Pedro][Desconexión del Sistema]
[05/06/23 13:15:23][Pedro][Acceso a sistema]
[05/06/23 13:15:31][Pedro][Desconexión del Sistema]
[05/06/23 13:16:43][Pedro][Acceso a sistema]
[05/06/23 13:16:54][Pedro][Desconexión del Sistema]
[05/06/23 21:54:28][Pedro][Acceso a sistema]
[05/06/23 21:56:01][Pedro][ALTA Compra: INSERT INTO comprar (idCompra, fechaCompra, cantidadCompra, idClienteFK, idProductoFK) VALUES (null, '26-07-11', '2', 2, 5);]
[05/06/23 21:56:39][Pedro][Desconexión del Sistema]
[05/06/23 22:01:50][Pedro][Acceso a sistema]
[06/06/23 11:51:20][Pedro][Acceso a sistema]
[06/06/23 11:53:35][Pedro][Desconexión del Sistema]
[06/06/23 18:18:09][Pedro][Acceso a sistema]
[06/06/23 18:18:16][Pedro][Desconexión del Sistema]
[06/06/23 18:22:18][Pedro][Acceso a sistema]
[06/06/23 18:24:20][Pedro][Acceso a sistema]
[06/06/23 18:24:26][Pedro][Desconexión del Sistema]
[06/06/23 18:32:49][Pedro][Acceso a sistema]
[06/06/23 18:33:06][Pedro][Desconexión del Sistema]
[06/06/23 18:46:17][Pedro][Acceso a sistema]
[06/06/23 18:46:20][Pedro][Desconexión del Sistema]
[06/06/23 18:52:20][Pedro][Acceso a sistema]
[06/06/23 18:52:25][Pedro][Acceso a sistema]
[06/06/23 18:52:31][Pedro][Desconexión del Sistema]
[06/06/23 18:54:19][Pedro][Acceso a sistema]
[06/06/23 18:54:31][Pedro][Desconexión del Sistema]
[06/06/23 18:55:05][Pedro][Acceso a sistema]
[06/06/23 18:55:12][Pedro][Desconexión del Sistema]
[06/06/23 18:56:33][Pedro][Acceso a sistema]
[06/06/23 18:57:02][Pedro][Desconexión del Sistema]
[06/06/23 19:00:04][Pedro][Acceso a sistema]
[06/06/23 19:00:21][Pedro][Desconexión del Sistema]
[06/06/23 19:01:15][Pedro][Acceso a sistema]
[06/06/23 19:01:51][Pedro][Desconexión del Sistema]
[09/06/23 11:48:10][Pedro][Acceso a sistema]
[09/06/23 11:48:15][Pedro][Desconexión del Sistema]
[09/06/23 11:54:30][Pedro][Acceso a sistema]
[09/06/23 11:54:34][Pedro][Desconexión del Sistema]
[12/06/23 13:06:43][Pedro][Acceso a sistema]
[12/06/23 13:11:29][Pedro][Acceso a sistema]
[12/06/23 13:11:48][Pedro][Desconexión del Sistema]
[12/06/23 13:44:29][Pedro][Desconexión del Sistema]
